classificacao,genero,cor_ou_raca,estados,mes_pesquisa,semana_do_mes,febre,tosse,dor_de_garganta,dificuldade_respirar,dor_no_peito,nariz_escorrendo_entupido,fadiga,perda_de_ofato_sabor,dores_musculares,diarreia
18-25 Jovem ,Mulher,Indígena,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Indígena,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Indígena,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Ceará,8,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Ceará,8,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Não respondeu,Ceará,8,2,1,1,1,0,0,1,0,0,0,0
0-12 Criança,Homem,Não respondeu,Ceará,8,2,1,1,0,0,0,1,0,0,0,0
60+ Idoso,Homem,Não respondeu,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Não respondeu,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Não respondeu,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Não respondeu,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Não respondeu,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Ceará,8,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Não respondeu,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Não respondeu,Ceará,8,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Não respondeu,Ceará,8,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Não respondeu,Ceará,8,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Não respondeu,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Não respondeu,Ceará,8,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Não respondeu,Ceará,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Ceará,8,2,0,0,0,0,1,1,0,0,0,0
0-12 Criança,Mulher,Indígena,Ceará,8,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Rio Grande do Norte,8,1,0,0,0,0,1,0,0,0,0,0
60+ Idoso,Mulher,Parda,Rio Grande do Norte,8,3,2,5,2,0,0,2,1,1,0,0
0-12 Criança,Mulher,Parda,Rio Grande do Norte,8,3,0,1,0,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Branca,Rio Grande do Norte,8,3,1,2,2,0,0,2,1,0,0,0
26-59 Adulto,Mulher,Branca,Rio Grande do Norte,8,3,2,2,4,0,2,1,1,0,2,2
60+ Idoso,Homem,Branca,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Parda,Rio Grande do Norte,8,3,4,4,3,0,0,2,1,0,0,0
26-59 Adulto,Homem,Preta,Rio Grande do Norte,8,3,0,1,1,0,0,0,0,0,0,0
60+ Idoso,Homem,Parda,Rio Grande do Norte,8,3,1,1,1,0,0,0,1,0,0,0
60+ Idoso,Homem,Branca,Rio Grande do Norte,8,4,0,0,0,0,0,0,1,0,1,1
60+ Idoso,Mulher,Branca,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Parda,Rio Grande do Norte,8,4,2,2,1,1,1,1,1,0,1,1
26-59 Adulto,Mulher,Parda,Rio Grande do Norte,8,4,1,4,6,0,0,7,2,0,4,4
0-12 Criança,Homem,Branca,Rio Grande do Norte,8,4,2,1,0,0,0,1,0,0,0,0
26-59 Adulto,Homem,Parda,Rio Grande do Norte,8,1,5,6,8,2,0,6,3,3,5,5
26-59 Adulto,Mulher,Preta,Rio Grande do Norte,8,1,1,2,2,0,0,1,0,0,1,1
18-25 Jovem ,Homem,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,2,2
60+ Idoso,Mulher,Parda,Rio Grande do Norte,8,2,1,1,0,0,1,1,0,0,1,1
26-59 Adulto,Homem,Parda,Rio Grande do Norte,8,2,6,3,2,2,2,4,1,2,3,3
60+ Idoso,Homem,Parda,Rio Grande do Norte,8,2,0,1,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Parda,Rio Grande do Norte,8,4,0,1,0,0,0,1,0,0,1,1
60+ Idoso,Mulher,Parda,Rio Grande do Norte,8,4,2,1,2,0,0,2,0,0,3,3
26-59 Adulto,Homem,Branca,Rio Grande do Norte,8,4,1,3,4,2,0,6,3,1,3,3
18-25 Jovem ,Mulher,Branca,Rio Grande do Norte,8,1,1,0,0,0,0,1,0,0,1,1
0-12 Criança,Homem,Parda,Rio Grande do Norte,8,1,1,1,1,0,0,2,0,0,0,0
26-59 Adulto,Homem,Branca,Rio Grande do Norte,8,1,6,3,3,0,0,5,2,0,3,3
60+ Idoso,Homem,Branca,Rio Grande do Norte,8,1,0,0,1,0,0,2,0,0,1,1
26-59 Adulto,Mulher,Branca,Rio Grande do Norte,8,4,3,2,3,1,0,2,3,0,3,3
26-59 Adulto,Homem,Parda,Rio Grande do Norte,8,4,3,4,3,2,0,5,1,2,2,2
26-59 Adulto,Homem,Preta,Rio Grande do Norte,8,2,0,1,1,0,0,1,0,0,1,1
26-59 Adulto,Mulher,Parda,Rio Grande do Norte,8,2,3,7,8,1,1,7,1,1,4,4
60+ Idoso,Homem,Parda,Rio Grande do Norte,8,1,0,0,1,1,0,0,0,1,0,0
18-25 Jovem ,Homem,Branca,Rio Grande do Norte,8,1,0,1,1,1,0,3,3,1,1,1
13-17 Adolescente,Homem,Branca,Rio Grande do Norte,8,3,1,1,0,0,0,0,0,0,1,1
18-25 Jovem ,Homem,Branca,Rio Grande do Norte,8,3,1,0,1,0,0,0,0,0,0,0
60+ Idoso,Mulher,Parda,Rio Grande do Norte,8,1,0,0,0,0,0,1,1,0,0,0
26-59 Adulto,Mulher,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,1,1,0,1,1
0-12 Criança,Mulher,Branca,Rio Grande do Norte,8,4,1,1,0,0,0,3,0,0,0,0
26-59 Adulto,Homem,Branca,Rio Grande do Norte,8,3,0,2,2,0,1,2,1,0,2,2
26-59 Adulto,Mulher,Branca,Rio Grande do Norte,8,1,2,6,2,2,2,5,3,2,5,5
60+ Idoso,Mulher,Branca,Rio Grande do Norte,8,2,2,2,3,1,1,1,1,1,1,1
26-59 Adulto,Homem,Branca,Rio Grande do Norte,8,2,3,3,4,1,0,3,1,1,1,1
13-17 Adolescente,Homem,Parda,Rio Grande do Norte,8,4,1,1,0,0,0,1,0,0,0,0
0-12 Criança,Mulher,Parda,Rio Grande do Norte,8,4,2,2,4,1,0,3,0,1,0,0
60+ Idoso,Homem,Branca,Rio Grande do Norte,8,2,1,2,0,1,1,0,1,1,1,1
26-59 Adulto,Mulher,Branca,Rio Grande do Norte,8,2,3,2,5,1,0,2,3,1,5,5
18-25 Jovem ,Homem,Branca,Rio Grande do Norte,8,2,0,1,1,0,0,2,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rio Grande do Norte,8,2,1,0,1,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Parda,Rio Grande do Norte,8,3,3,5,6,2,0,3,2,2,1,1
18-25 Jovem ,Mulher,Parda,Rio Grande do Norte,8,3,0,2,1,1,0,3,0,0,0,0
26-59 Adulto,Mulher,Parda,Rio Grande do Norte,8,1,4,2,6,0,1,3,2,2,6,6
0-12 Criança,Homem,Branca,Rio Grande do Norte,8,1,1,3,0,0,0,3,0,0,1,1
26-59 Adulto,Mulher,Parda,Rio Grande do Norte,8,3,3,4,6,0,1,4,4,2,7,7
0-12 Criança,Mulher,Branca,Rio Grande do Norte,8,3,2,3,1,1,1,5,3,0,0,0
18-25 Jovem ,Homem,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Rio Grande do Norte,8,4,0,2,2,0,0,2,0,0,0,0
18-25 Jovem ,Mulher,Parda,Rio Grande do Norte,8,4,2,3,2,0,0,3,1,1,2,2
60+ Idoso,Mulher,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,1,0,0,0
0-12 Criança,Homem,Parda,Rio Grande do Norte,8,4,0,2,1,1,0,2,0,0,0,0
0-12 Criança,Mulher,Parda,Rio Grande do Norte,8,1,1,2,0,0,0,2,0,0,0,0
0-12 Criança,Mulher,Parda,Rio Grande do Norte,8,2,2,1,1,0,0,2,0,0,0,0
18-25 Jovem ,Homem,Parda,Rio Grande do Norte,8,2,1,1,1,0,1,2,1,1,0,0
18-25 Jovem ,Mulher,Branca,Rio Grande do Norte,8,4,2,4,5,0,0,3,1,1,0,0
13-17 Adolescente,Homem,Parda,Rio Grande do Norte,8,3,0,0,1,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rio Grande do Norte,8,1,0,0,0,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Parda,Rio Grande do Norte,8,1,1,0,1,0,0,1,0,0,0,0
13-17 Adolescente,Mulher,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Preta,Rio Grande do Norte,8,4,0,0,1,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Branca,Rio Grande do Norte,8,2,0,0,0,0,0,1,0,0,0,0
0-12 Criança,Mulher,Branca,Rio Grande do Norte,8,2,1,1,2,0,0,2,0,0,0,0
18-25 Jovem ,Homem,Parda,Rio Grande do Norte,8,3,1,1,1,1,1,2,2,2,1,1
26-59 Adulto,Homem,Preta,Rio Grande do Norte,8,4,2,1,3,2,0,2,1,1,1,1
26-59 Adulto,Mulher,Preta,Rio Grande do Norte,8,3,1,0,0,1,1,1,0,0,2,2
13-17 Adolescente,Mulher,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Branca,Rio Grande do Norte,8,2,3,1,2,0,0,2,0,0,0,0
18-25 Jovem ,Homem,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Parda,Rio Grande do Norte,8,2,2,1,0,0,0,1,0,0,0,0
18-25 Jovem ,Homem,Parda,Rio Grande do Norte,8,1,1,1,3,0,0,1,1,0,1,1
13-17 Adolescente,Mulher,Parda,Rio Grande do Norte,8,1,1,0,1,0,0,0,0,1,0,0
13-17 Adolescente,Mulher,Parda,Rio Grande do Norte,8,4,3,2,6,0,0,1,0,0,0,0
13-17 Adolescente,Homem,Branca,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Rio Grande do Norte,8,2,2,2,2,1,1,4,1,2,2,2
0-12 Criança,Homem,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,1,0,0,0,0
13-17 Adolescente,Mulher,Parda,Rio Grande do Norte,8,3,1,2,1,0,0,1,0,0,0,0
13-17 Adolescente,Homem,Branca,Rio Grande do Norte,8,4,1,1,0,1,1,1,1,1,1,1
13-17 Adolescente,Mulher,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Branca,Rio Grande do Norte,8,3,2,4,2,1,1,1,1,0,1,1
0-12 Criança,Mulher,Branca,Rio Grande do Norte,8,1,2,1,1,0,0,1,0,0,0,0
26-59 Adulto,Homem,Amarela,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Parda,Rio Grande do Norte,8,1,1,1,1,0,0,0,1,1,1,1
18-25 Jovem ,Mulher,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Não respondeu,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Não respondeu,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Não respondeu,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rio Grande do Norte,8,3,1,0,2,0,0,1,1,0,1,1
13-17 Adolescente,Homem,Parda,Rio Grande do Norte,8,2,0,0,0,0,0,1,0,0,0,0
13-17 Adolescente,Mulher,Parda,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rio Grande do Norte,8,4,1,0,0,0,0,0,0,1,1,1
60+ Idoso,Mulher,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,1,0,0,0,0
60+ Idoso,Homem,Indígena,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Rio Grande do Norte,8,3,0,1,1,1,0,1,0,0,0,0
26-59 Adulto,Mulher,Amarela,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Rio Grande do Norte,8,2,1,1,1,1,1,1,1,1,1,1
60+ Idoso,Mulher,Amarela,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Rio Grande do Norte,8,4,0,1,0,0,0,1,0,0,0,0
26-59 Adulto,Mulher,Indígena,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Não respondeu,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Não respondeu,Rio Grande do Norte,8,4,0,0,1,0,0,0,1,0,0,0
18-25 Jovem ,Mulher,Indígena,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Rio Grande do Norte,8,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Rio Grande do Norte,8,3,0,0,1,0,0,1,0,0,0,0
26-59 Adulto,Homem,Indígena,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Indígena,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Rio Grande do Norte,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Rio Grande do Norte,8,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rio Grande do Norte,8,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Parda,Paríba,8,2,9,13,16,3,1,15,8,2,10,10
18-25 Jovem ,Mulher,Parda,Paríba,8,2,3,4,3,3,2,3,3,1,1,1
26-59 Adulto,Homem,Preta,Paríba,8,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Parda,Paríba,8,3,5,11,6,1,1,10,4,3,8,8
60+ Idoso,Mulher,Parda,Paríba,8,3,1,0,1,0,0,1,0,0,2,2
26-59 Adulto,Homem,Parda,Paríba,8,3,3,8,6,2,3,11,3,1,6,6
0-12 Criança,Homem,Parda,Paríba,8,3,2,2,2,0,1,6,0,0,1,1
18-25 Jovem ,Mulher,Parda,Paríba,8,3,0,0,0,0,0,2,0,0,0,0
18-25 Jovem ,Homem,Parda,Paríba,8,3,2,1,1,1,1,4,1,1,2,2
0-12 Criança,Homem,Parda,Paríba,8,2,3,2,2,0,0,4,1,0,1,1
26-59 Adulto,Mulher,Preta,Paríba,8,2,0,0,0,0,0,1,0,0,0,0
26-59 Adulto,Mulher,Parda,Paríba,8,1,4,7,12,3,5,12,5,3,10,10
13-17 Adolescente,Mulher,Parda,Paríba,8,1,1,2,2,0,0,3,1,0,1,1
0-12 Criança,Mulher,Parda,Paríba,8,1,1,2,2,0,0,2,1,1,1,1
26-59 Adulto,Homem,Parda,Paríba,8,4,7,6,7,2,1,7,3,2,7,7
26-59 Adulto,Mulher,Branca,Paríba,8,4,5,4,3,1,1,7,2,2,5,5
0-12 Criança,Homem,Branca,Paríba,8,4,3,2,1,0,0,3,0,0,2,2
26-59 Adulto,Homem,Branca,Paríba,8,3,4,6,3,0,1,8,2,3,1,1
26-59 Adulto,Mulher,Branca,Paríba,8,3,4,5,3,2,1,8,4,3,4,4
0-12 Criança,Homem,Branca,Paríba,8,3,1,1,0,0,0,2,0,0,0,0
0-12 Criança,Mulher,Branca,Paríba,8,3,0,1,1,0,0,4,0,0,0,0
60+ Idoso,Mulher,Preta,Paríba,8,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Preta,Paríba,8,1,0,0,0,0,0,1,1,1,1,1
0-12 Criança,Homem,Parda,Paríba,8,1,1,2,3,0,0,4,0,0,0,0
60+ Idoso,Mulher,Parda,Paríba,8,2,4,9,6,0,0,3,2,1,6,6
26-59 Adulto,Homem,Preta,Paríba,8,2,1,0,0,1,0,3,0,1,1,1
26-59 Adulto,Homem,Parda,Paríba,8,1,8,10,6,3,1,18,3,3,10,10
26-59 Adulto,Mulher,Preta,Paríba,8,1,0,0,0,1,0,1,1,1,1,1
26-59 Adulto,Mulher,Parda,Paríba,8,4,9,8,6,3,1,14,8,2,11,11
26-59 Adulto,Homem,Branca,Paríba,8,1,2,3,1,1,0,2,1,0,4,4
26-59 Adulto,Mulher,Branca,Paríba,8,1,5,8,6,1,0,11,8,5,7,7
0-12 Criança,Mulher,Branca,Paríba,8,1,1,0,3,1,0,2,0,0,0,0
26-59 Adulto,Homem,Branca,Paríba,8,2,4,5,4,2,1,6,2,1,6,6
18-25 Jovem ,Mulher,Preta,Paríba,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Branca,Paríba,8,2,0,1,0,0,0,5,0,0,0,0
60+ Idoso,Homem,Branca,Paríba,8,1,1,2,1,0,1,1,1,1,3,3
60+ Idoso,Mulher,Parda,Paríba,8,1,2,3,2,1,0,4,1,1,4,4
18-25 Jovem ,Mulher,Parda,Paríba,8,4,3,3,4,1,1,5,2,2,3,3
60+ Idoso,Mulher,Parda,Paríba,8,4,3,4,3,1,1,4,3,2,6,6
0-12 Criança,Homem,Parda,Paríba,8,4,4,1,1,2,0,2,2,0,0,0
18-25 Jovem ,Homem,Parda,Paríba,8,4,1,3,3,0,0,4,0,0,2,2
60+ Idoso,Homem,Parda,Paríba,8,2,3,7,3,0,0,3,3,1,2,2
26-59 Adulto,Homem,Parda,Paríba,8,2,6,11,4,1,0,9,3,1,8,8
13-17 Adolescente,Homem,Branca,Paríba,8,3,0,1,1,0,0,3,0,0,0,0
26-59 Adulto,Homem,Branca,Paríba,8,4,2,2,3,0,0,1,0,0,1,1
18-25 Jovem ,Homem,Branca,Paríba,8,4,2,0,1,0,0,1,1,0,1,1
60+ Idoso,Mulher,Branca,Paríba,8,1,1,2,1,1,1,8,1,0,4,4
18-25 Jovem ,Homem,Parda,Paríba,8,2,1,1,1,1,0,3,1,1,1,1
26-59 Adulto,Homem,Preta,Paríba,8,4,0,1,0,0,0,1,0,0,0,0
13-17 Adolescente,Mulher,Branca,Paríba,8,4,0,1,0,0,0,1,0,1,0,0
0-12 Criança,Mulher,Preta,Paríba,8,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Paríba,8,2,2,2,1,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Paríba,8,2,1,1,2,0,0,5,0,0,0,0
0-12 Criança,Mulher,Parda,Paríba,8,2,3,1,1,1,0,3,0,0,0,0
13-17 Adolescente,Homem,Parda,Paríba,8,1,1,1,1,1,0,0,1,0,0,0
13-17 Adolescente,Homem,Parda,Paríba,8,2,2,1,4,2,1,4,1,1,2,2
0-12 Criança,Mulher,Preta,Paríba,8,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Paríba,8,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Parda,Paríba,8,4,0,1,1,0,0,1,0,0,0,0
60+ Idoso,Homem,Parda,Paríba,8,3,2,4,1,0,1,2,1,1,2,2
0-12 Criança,Mulher,Branca,Paríba,8,4,0,0,0,0,0,1,0,0,0,0
60+ Idoso,Mulher,Branca,Paríba,8,4,3,7,3,2,0,3,2,1,2,2
26-59 Adulto,Mulher,Branca,Paríba,8,2,3,9,6,2,2,10,0,2,5,5
60+ Idoso,Homem,Branca,Paríba,8,2,2,2,3,0,0,0,1,0,1,1
18-25 Jovem ,Homem,Branca,Paríba,8,2,1,1,0,1,1,3,1,0,0,0
13-17 Adolescente,Mulher,Parda,Paríba,8,3,1,0,2,1,0,6,1,1,0,0
60+ Idoso,Mulher,Branca,Paríba,8,3,0,2,1,0,2,3,0,0,3,3
60+ Idoso,Homem,Branca,Paríba,8,3,0,0,0,0,1,2,1,0,4,4
60+ Idoso,Homem,Parda,Paríba,8,1,2,4,3,2,0,4,2,0,2,2
0-12 Criança,Mulher,Parda,Paríba,8,3,1,0,1,0,0,3,0,0,0,0
13-17 Adolescente,Mulher,Parda,Paríba,8,2,2,2,1,0,1,4,2,0,0,0
60+ Idoso,Mulher,Branca,Paríba,8,2,0,3,1,0,0,1,1,0,2,2
0-12 Criança,Homem,Branca,Paríba,8,1,1,3,1,1,0,4,0,0,1,1
60+ Idoso,Mulher,Amarela,Paríba,8,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Paríba,8,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Paríba,8,1,3,4,4,0,0,3,0,1,2,2
18-25 Jovem ,Homem,Parda,Paríba,8,1,1,1,1,0,0,2,1,1,2,2
18-25 Jovem ,Mulher,Branca,Paríba,8,4,4,2,1,0,0,2,1,0,4,4
13-17 Adolescente,Homem,Parda,Paríba,8,4,0,2,1,0,0,2,0,0,0,0
13-17 Adolescente,Homem,Parda,Paríba,8,3,0,0,0,0,0,1,0,0,0,0
18-25 Jovem ,Homem,Branca,Paríba,8,3,2,3,3,1,1,8,2,2,3,3
18-25 Jovem ,Homem,Branca,Paríba,8,1,1,2,0,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Branca,Paríba,8,1,0,2,1,0,0,2,0,0,0,0
