classificacao,genero,estados,mes_pesquisa,semana_do_mes,foi_estabelecimento_saude,nao_foi_estabelecimento_saude,ignorou_os_sintomas,hospital_sus,nao_era_um_hospital_sus,nao_respondeu,atenidento_pivado_ou_militar,nao_buscou_atendimento_privado,nao_respondeu_atendiento_privado,fez_exame_SWAB,nao_fez_exame_SWAB,resultado_positivo,resultado_negativo,resultado_inconclusivo,ainda_sem_resultado,tem_doencas_respiratorias,nao_tem_doencas_respiratorias,ignorou_doencas_respiratorias
26-59 Adulto,Mulher,Minas Gerais,8,2,40,145,0,5,35,0,1,39,0,57,111,10,45,1,1,154,2001,7
60+ Idoso,Mulher,Minas Gerais,8,1,7,67,0,0,7,0,0,7,0,4,15,0,3,0,1,67,855,1
0-12 Criança,Mulher,Minas Gerais,8,1,6,28,0,1,5,0,0,6,0,3,4,0,3,0,0,61,540,2
26-59 Adulto,Homem,Minas Gerais,8,2,26,92,0,2,24,0,1,25,0,68,89,13,51,0,4,94,1884,7
0-12 Criança,Homem,Minas Gerais,8,2,8,26,0,1,7,0,0,8,0,2,5,0,2,0,0,75,592,0
60+ Idoso,Homem,Minas Gerais,8,4,14,35,0,6,8,0,0,14,0,15,22,5,10,0,0,45,750,1
60+ Idoso,Homem,Minas Gerais,8,1,7,37,0,0,7,0,0,7,0,10,13,3,7,0,0,53,722,1
13-17 Adolescente,Homem,Minas Gerais,8,3,2,9,0,1,1,0,0,2,0,0,6,0,0,0,0,38,301,0
13-17 Adolescente,Mulher,Minas Gerais,8,3,2,9,0,0,2,0,0,2,0,3,3,0,3,0,0,21,258,1
0-12 Criança,Homem,Minas Gerais,8,3,8,25,0,2,6,0,0,8,0,7,7,1,6,0,0,61,584,2
18-25 Jovem ,Mulher,Minas Gerais,8,2,5,24,0,1,4,0,0,5,0,6,24,0,6,0,0,36,448,2
13-17 Adolescente,Homem,Minas Gerais,8,2,1,12,0,0,1,0,0,1,0,3,6,0,3,0,0,31,316,2
18-25 Jovem ,Mulher,Minas Gerais,8,3,7,32,0,1,6,0,0,7,0,10,17,2,7,0,1,34,455,0
18-25 Jovem ,Mulher,Minas Gerais,8,1,5,22,0,0,5,0,0,5,0,7,12,0,6,0,1,45,409,1
18-25 Jovem ,Homem,Minas Gerais,8,1,7,18,0,1,6,0,2,5,0,7,16,1,6,0,0,44,399,2
0-12 Criança,Mulher,Minas Gerais,8,2,10,23,0,1,9,0,0,10,0,4,9,0,4,0,0,65,612,1
18-25 Jovem ,Homem,Minas Gerais,8,4,7,18,0,1,6,0,0,7,0,12,29,2,10,0,0,31,491,3
18-25 Jovem ,Homem,Minas Gerais,8,2,3,30,0,0,3,0,0,3,0,4,13,2,1,1,0,49,411,1
13-17 Adolescente,Mulher,Minas Gerais,8,2,4,17,0,0,4,0,0,4,0,5,5,1,4,0,0,33,289,2
13-17 Adolescente,Mulher,Minas Gerais,8,4,1,6,0,0,1,0,0,1,0,1,5,0,1,0,0,34,266,0
13-17 Adolescente,Mulher,Minas Gerais,8,1,4,10,0,1,3,0,0,4,0,1,5,0,1,0,0,24,286,0
13-17 Adolescente,Homem,Minas Gerais,8,4,0,13,0,0,0,0,0,0,0,2,5,0,2,0,0,35,285,1
60+ Idoso,Mulher,Esperito Santo,8,3,4,16,0,1,3,0,0,4,0,15,21,3,9,0,3,19,377,1
60+ Idoso,Mulher,Esperito Santo,8,2,3,24,0,0,3,0,0,3,0,8,16,2,6,0,0,27,357,3
26-59 Adulto,Homem,Esperito Santo,8,3,11,32,0,1,10,0,3,8,0,36,64,15,17,0,4,26,880,3
26-59 Adulto,Mulher,Esperito Santo,8,3,18,55,0,1,17,0,3,15,0,46,59,20,23,0,3,70,926,3
18-25 Jovem ,Mulher,Esperito Santo,8,3,6,11,0,0,6,0,1,5,0,7,15,2,5,0,0,13,219,3
13-17 Adolescente,Homem,Esperito Santo,8,3,1,4,0,0,1,0,0,1,0,1,3,0,1,0,0,7,127,1
60+ Idoso,Homem,Esperito Santo,8,3,4,14,0,1,3,0,0,4,0,11,15,1,8,0,2,11,297,0
0-12 Criança,Mulher,Esperito Santo,8,3,5,16,0,0,5,0,1,4,0,2,6,2,0,0,0,28,278,0
18-25 Jovem ,Homem,Esperito Santo,8,3,5,5,0,1,4,0,0,5,0,5,15,1,4,0,0,11,192,1
60+ Idoso,Mulher,Esperito Santo,8,4,8,20,1,1,7,0,3,5,0,18,17,9,7,0,2,18,360,2
60+ Idoso,Homem,Esperito Santo,8,4,7,13,0,0,7,0,0,7,0,8,11,5,3,0,0,7,289,2
26-59 Adulto,Mulher,Esperito Santo,8,1,18,62,0,0,17,1,1,16,1,56,51,20,31,0,5,48,902,14
13-17 Adolescente,Mulher,Esperito Santo,8,1,2,4,0,0,2,0,0,2,0,0,4,0,0,0,0,7,120,0
60+ Idoso,Mulher,Esperito Santo,8,1,8,19,0,0,8,0,0,8,0,3,15,1,2,0,0,25,359,1
26-59 Adulto,Homem,Esperito Santo,8,1,13,37,0,3,10,0,1,12,0,49,63,19,29,0,1,44,840,9
26-59 Adulto,Homem,Esperito Santo,8,2,12,32,0,0,12,0,1,11,0,35,54,11,22,0,2,38,865,12
0-12 Criança,Homem,Esperito Santo,8,2,3,15,0,0,3,0,0,3,0,1,1,0,1,0,0,31,293,3
13-17 Adolescente,Mulher,Esperito Santo,8,4,1,5,0,0,1,0,0,1,0,1,3,1,0,0,0,13,99,0
60+ Idoso,Homem,Esperito Santo,8,2,8,10,0,2,6,0,0,8,0,9,13,1,5,1,2,10,278,3
60+ Idoso,Homem,Esperito Santo,8,1,4,11,0,0,4,0,0,4,0,7,12,2,5,0,0,15,296,2
0-12 Criança,Mulher,Esperito Santo,8,1,2,12,0,0,2,0,0,2,0,3,5,1,1,1,0,21,276,2
26-59 Adulto,Mulher,Esperito Santo,8,2,22,53,0,0,22,0,0,22,0,53,59,21,28,0,4,58,942,15
18-25 Jovem ,Mulher,Esperito Santo,8,1,1,12,0,0,1,0,0,1,0,10,7,1,7,1,1,14,179,4
18-25 Jovem ,Homem,Esperito Santo,8,1,4,3,0,0,4,0,0,4,0,10,7,0,10,0,0,11,200,3
13-17 Adolescente,Homem,Esperito Santo,8,1,1,6,0,0,1,0,0,1,0,1,3,0,1,0,0,11,120,1
26-59 Adulto,Homem,Esperito Santo,8,4,8,28,0,1,7,0,0,8,0,35,61,14,20,0,1,29,865,9
26-59 Adulto,Mulher,Esperito Santo,8,4,8,50,0,0,8,0,0,8,0,46,86,17,25,0,4,55,975,6
13-17 Adolescente,Mulher,Esperito Santo,8,3,2,7,0,0,2,0,0,2,0,0,5,0,0,0,0,6,113,0
0-12 Criança,Homem,Esperito Santo,8,3,3,15,0,0,3,0,0,3,0,2,3,0,2,0,0,33,287,2
0-12 Criança,Mulher,Esperito Santo,8,4,2,2,0,0,2,0,0,2,0,2,3,1,1,0,0,35,289,1
13-17 Adolescente,Homem,Esperito Santo,8,4,0,4,0,0,0,0,0,0,0,2,2,1,1,0,0,10,125,1
18-25 Jovem ,Homem,Esperito Santo,8,2,2,7,0,0,2,0,0,2,0,6,15,1,4,1,0,15,198,6
18-25 Jovem ,Mulher,Esperito Santo,8,4,1,7,0,0,1,0,0,1,0,6,7,2,3,0,1,10,175,1
0-12 Criança,Homem,Esperito Santo,8,1,1,8,0,0,1,0,0,1,0,1,2,0,0,0,1,30,265,5
18-25 Jovem ,Homem,Esperito Santo,8,4,5,6,0,0,5,0,0,5,0,7,7,0,5,0,2,15,210,0
18-25 Jovem ,Mulher,Esperito Santo,8,2,4,11,0,0,4,0,0,4,0,6,7,3,3,0,0,10,185,7
0-12 Criança,Mulher,Esperito Santo,8,2,4,6,0,0,4,0,0,4,0,2,2,0,2,0,0,23,283,8
13-17 Adolescente,Mulher,Esperito Santo,8,2,1,4,0,0,1,0,0,1,0,1,0,0,1,0,0,6,101,4
0-12 Criança,Homem,Esperito Santo,8,4,1,8,0,0,1,0,0,1,0,4,6,1,3,0,0,41,278,2
13-17 Adolescente,Homem,Esperito Santo,8,2,1,5,0,0,1,0,0,1,0,2,3,0,2,0,0,14,125,2
26-59 Adulto,Homem,Rio de Janeiro,8,3,18,46,0,3,15,0,1,17,0,47,122,7,40,0,0,70,1518,22
60+ Idoso,Mulher,Rio de Janeiro,8,3,11,32,0,2,9,0,1,10,0,13,59,2,11,0,0,53,889,11
26-59 Adulto,Homem,Rio de Janeiro,8,4,7,37,0,0,7,0,3,4,0,61,141,9,47,0,5,72,1530,9
26-59 Adulto,Mulher,Rio de Janeiro,8,4,22,53,0,4,18,0,2,20,0,49,161,12,33,0,4,122,1765,9
18-25 Jovem ,Mulher,Rio de Janeiro,8,4,4,11,0,2,2,0,0,4,0,7,26,2,5,0,0,37,326,4
60+ Idoso,Mulher,Rio de Janeiro,8,1,6,28,0,1,5,0,0,6,0,18,48,4,13,0,1,53,915,15
60+ Idoso,Homem,Rio de Janeiro,8,4,5,18,0,3,2,0,0,5,0,10,38,2,8,0,0,26,673,2
0-12 Criança,Mulher,Rio de Janeiro,8,4,2,4,0,0,2,0,0,2,0,1,12,0,0,0,1,36,431,0
13-17 Adolescente,Homem,Rio de Janeiro,8,4,1,3,0,0,1,0,1,0,0,3,10,1,2,0,0,18,202,0
0-12 Criança,Homem,Rio de Janeiro,8,4,0,8,0,0,0,0,0,0,0,4,11,0,4,0,0,62,428,0
26-59 Adulto,Mulher,Rio de Janeiro,8,2,15,60,1,4,11,0,0,15,0,66,148,15,46,3,2,112,1765,11
0-12 Criança,Mulher,Rio de Janeiro,8,2,1,9,1,0,1,0,0,1,0,1,10,0,1,0,0,28,454,3
26-59 Adulto,Homem,Rio de Janeiro,8,1,10,50,0,1,9,0,2,8,0,53,118,12,38,0,3,59,1480,19
18-25 Jovem ,Mulher,Rio de Janeiro,8,2,4,12,0,1,3,0,0,4,0,13,15,0,11,1,1,19,323,3
60+ Idoso,Mulher,Rio de Janeiro,8,2,5,25,0,0,5,0,0,5,0,19,55,3,15,0,1,47,963,4
26-59 Adulto,Homem,Rio de Janeiro,8,2,12,26,1,2,10,0,2,10,0,80,138,15,64,1,0,57,1558,13
60+ Idoso,Homem,Rio de Janeiro,8,2,5,15,0,0,4,1,0,4,1,10,40,5,4,0,1,26,642,6
60+ Idoso,Homem,Rio de Janeiro,8,3,2,20,0,0,2,0,0,2,0,12,45,3,9,0,0,21,597,4
26-59 Adulto,Mulher,Rio de Janeiro,8,3,23,56,0,6,17,0,1,22,0,80,162,26,52,0,2,105,1741,18
26-59 Adulto,Mulher,Rio de Janeiro,8,1,24,65,0,4,20,0,1,23,0,72,146,20,49,1,2,103,1749,21
18-25 Jovem ,Mulher,Rio de Janeiro,8,3,6,6,0,1,5,0,1,5,0,5,28,2,2,0,1,20,347,2
60+ Idoso,Homem,Rio de Janeiro,8,1,4,18,0,2,2,0,0,4,0,8,41,1,7,0,0,27,633,9
13-17 Adolescente,Mulher,Rio de Janeiro,8,1,0,4,0,0,0,0,0,0,0,1,6,1,0,0,0,15,216,2
18-25 Jovem ,Homem,Rio de Janeiro,8,4,3,5,0,1,2,0,0,3,0,8,26,1,7,0,0,27,378,2
60+ Idoso,Mulher,Rio de Janeiro,8,4,6,27,0,0,6,0,0,6,0,20,59,3,16,0,0,72,890,8
13-17 Adolescente,Mulher,Rio de Janeiro,8,2,1,3,0,1,0,0,0,1,0,1,4,0,0,0,1,16,202,0
0-12 Criança,Homem,Rio de Janeiro,8,2,0,7,0,0,0,0,0,0,0,2,15,0,2,0,0,32,468,3
0-12 Criança,Homem,Rio de Janeiro,8,1,1,6,0,0,1,0,0,1,0,1,5,1,0,0,0,36,444,2
18-25 Jovem ,Mulher,Rio de Janeiro,8,1,5,7,0,0,5,0,0,5,0,14,20,2,9,0,3,15,355,2
0-12 Criança,Mulher,Rio de Janeiro,8,1,1,3,0,0,1,0,0,1,0,2,8,1,0,0,1,22,410,5
13-17 Adolescente,Homem,Rio de Janeiro,8,2,3,0,0,1,2,0,0,3,0,5,13,0,4,0,1,14,226,0
18-25 Jovem ,Homem,Rio de Janeiro,8,3,1,5,0,0,1,0,0,1,0,3,20,1,2,0,0,33,343,5
13-17 Adolescente,Homem,Rio de Janeiro,8,3,1,3,0,0,1,0,0,1,0,3,4,1,2,0,0,23,193,3
0-12 Criança,Homem,Rio de Janeiro,8,3,2,14,0,0,2,0,0,2,0,2,8,1,1,0,0,40,423,6
0-12 Criança,Mulher,Rio de Janeiro,8,3,3,8,0,0,3,0,0,3,0,3,11,1,2,0,0,23,483,5
13-17 Adolescente,Homem,Rio de Janeiro,8,1,0,4,0,0,0,0,0,0,0,1,5,0,1,0,0,14,220,2
13-17 Adolescente,Mulher,Rio de Janeiro,8,4,2,3,0,0,2,0,0,2,0,1,9,0,1,0,0,13,208,1
18-25 Jovem ,Homem,Rio de Janeiro,8,1,3,10,0,1,2,0,0,3,0,4,14,0,3,0,1,27,334,5
18-25 Jovem ,Homem,Rio de Janeiro,8,2,1,8,0,0,1,0,0,1,0,11,17,1,9,0,1,26,358,2
13-17 Adolescente,Mulher,Rio de Janeiro,8,3,1,4,0,0,1,0,0,1,0,2,7,0,2,0,0,9,179,2
60+ Idoso,Mulher,Paraná,8,3,1,28,0,0,1,0,0,1,0,12,8,3,9,0,0,32,497,0
26-59 Adulto,Mulher,Paraná,8,3,23,77,0,2,21,0,1,22,0,79,69,17,61,0,1,59,1259,2
60+ Idoso,Homem,Paraná,8,3,5,16,0,2,3,0,0,5,0,16,18,3,12,0,1,22,432,0
26-59 Adulto,Mulher,Paraná,8,1,20,67,0,2,18,0,2,18,0,44,38,13,26,0,5,85,1153,3
26-59 Adulto,Homem,Paraná,8,1,15,53,0,3,12,0,0,15,0,46,41,6,37,0,3,60,1067,2
60+ Idoso,Mulher,Paraná,8,4,14,28,0,1,13,0,0,14,0,13,12,4,8,0,1,35,503,0
26-59 Adulto,Mulher,Paraná,8,2,26,57,0,5,21,0,0,26,0,69,52,14,51,0,4,58,1238,7
18-25 Jovem ,Mulher,Paraná,8,2,1,13,0,0,1,0,0,1,0,12,10,1,11,0,0,20,249,1
13-17 Adolescente,Mulher,Paraná,8,2,2,6,0,1,1,0,0,2,0,2,6,0,2,0,0,13,166,1
18-25 Jovem ,Mulher,Paraná,8,4,2,15,0,0,2,0,0,2,0,12,12,3,9,0,0,9,245,3
18-25 Jovem ,Homem,Paraná,8,4,3,6,0,2,1,0,0,3,0,12,9,4,8,0,0,14,234,1
26-59 Adulto,Mulher,Paraná,8,4,18,63,0,2,16,0,0,18,0,58,38,13,43,0,2,67,1175,6
26-59 Adulto,Homem,Paraná,8,4,14,59,0,3,11,0,0,14,0,50,47,10,38,1,1,40,1103,7
0-12 Criança,Mulher,Paraná,8,4,3,9,0,0,3,0,0,3,0,7,4,0,7,0,0,25,353,3
0-12 Criança,Homem,Paraná,8,4,4,10,0,0,4,0,1,3,0,5,3,0,4,1,0,23,361,3
26-59 Adulto,Homem,Paraná,8,3,16,40,0,3,13,0,1,15,0,52,52,14,38,0,0,45,1137,3
60+ Idoso,Mulher,Paraná,8,1,9,35,0,2,7,0,0,9,0,15,11,1,13,1,0,30,515,0
0-12 Criança,Mulher,Paraná,8,3,7,13,0,2,5,0,0,7,0,6,6,1,5,0,0,20,321,2
60+ Idoso,Homem,Paraná,8,2,6,15,0,0,6,0,0,6,0,10,10,4,5,0,1,24,405,2
60+ Idoso,Mulher,Paraná,8,2,6,26,0,0,6,0,0,6,0,9,16,0,8,0,1,31,490,1
26-59 Adulto,Homem,Paraná,8,2,12,45,0,2,10,0,0,12,0,53,49,11,40,0,2,49,1161,5
18-25 Jovem ,Homem,Paraná,8,3,3,5,0,0,3,0,0,3,0,7,11,2,5,0,0,9,247,2
0-12 Criança,Homem,Paraná,8,3,4,11,0,1,3,0,0,4,0,7,8,1,5,0,1,33,368,0
13-17 Adolescente,Homem,Paraná,8,4,2,5,0,1,1,0,0,2,0,5,1,0,5,0,0,14,173,1
18-25 Jovem ,Mulher,Paraná,8,3,8,16,0,1,7,0,0,8,0,18,9,2,14,0,2,21,251,1
0-12 Criança,Homem,Paraná,8,2,5,10,0,1,4,0,0,5,0,12,6,0,12,0,0,34,354,0
0-12 Criança,Mulher,Paraná,8,2,5,5,0,2,3,0,0,5,0,9,7,4,4,0,1,23,375,1
13-17 Adolescente,Mulher,Paraná,8,3,0,7,0,0,0,0,0,0,0,5,2,3,1,0,1,15,174,0
0-12 Criança,Homem,Paraná,8,1,5,17,0,1,4,0,0,5,0,1,1,0,1,0,0,29,370,3
18-25 Jovem ,Homem,Paraná,8,2,3,7,0,0,3,0,0,3,0,6,6,2,4,0,0,16,244,1
60+ Idoso,Homem,Paraná,8,1,4,26,0,0,4,0,0,4,0,7,7,1,6,0,0,19,402,0
18-25 Jovem ,Homem,Paraná,8,1,2,9,0,1,1,0,0,2,0,12,6,1,11,0,0,19,275,0
60+ Idoso,Homem,Paraná,8,4,4,12,0,1,3,0,0,4,0,8,10,2,6,0,0,23,394,2
13-17 Adolescente,Homem,Paraná,8,1,2,3,0,0,2,0,0,2,0,2,2,1,1,0,0,18,150,0
13-17 Adolescente,Mulher,Paraná,8,1,2,6,0,0,2,0,0,2,0,2,0,0,2,0,0,7,140,1
18-25 Jovem ,Mulher,Paraná,8,1,6,12,0,1,5,0,0,6,0,7,5,3,3,0,1,10,240,0
0-12 Criança,Mulher,Paraná,8,1,5,9,0,1,4,0,0,5,0,2,1,1,1,0,0,27,309,0
13-17 Adolescente,Homem,Paraná,8,3,3,5,0,1,2,0,0,3,0,1,4,0,1,0,0,15,167,0
13-17 Adolescente,Mulher,Paraná,8,4,0,8,0,0,0,0,0,0,0,4,3,2,2,0,0,8,155,2
13-17 Adolescente,Homem,Paraná,8,2,2,6,0,0,2,0,0,2,0,6,4,0,6,0,0,16,179,1
26-59 Adulto,Homem,Santa Catarina,8,3,22,49,0,2,19,1,0,21,1,45,82,11,34,0,0,43,1328,10
26-59 Adulto,Mulher,Santa Catarina,8,3,31,55,0,5,25,1,0,30,1,61,82,15,41,0,5,48,1434,7
0-12 Criança,Homem,Santa Catarina,8,3,4,5,0,2,2,0,0,4,0,2,8,2,0,0,0,17,379,2
60+ Idoso,Homem,Santa Catarina,8,3,7,19,0,0,7,0,0,7,0,8,25,2,6,0,0,35,489,4
60+ Idoso,Mulher,Santa Catarina,8,3,11,28,0,1,10,0,0,11,0,7,23,1,6,0,0,39,597,2
13-17 Adolescente,Homem,Santa Catarina,8,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,6,170,0
26-59 Adulto,Homem,Santa Catarina,8,4,22,35,0,4,17,1,0,21,1,61,78,20,38,0,3,38,1390,11
60+ Idoso,Mulher,Santa Catarina,8,4,9,33,0,0,9,0,0,9,0,11,29,1,9,0,1,38,582,9
26-59 Adulto,Mulher,Santa Catarina,8,2,32,48,0,4,28,0,1,31,0,63,91,15,43,0,5,69,1410,10
60+ Idoso,Mulher,Santa Catarina,8,1,9,26,0,2,6,1,1,7,1,10,28,1,8,0,1,48,549,3
18-25 Jovem ,Homem,Santa Catarina,8,3,8,11,0,1,7,0,0,8,0,12,21,3,9,0,0,15,310,1
60+ Idoso,Homem,Santa Catarina,8,1,3,12,0,1,2,0,0,3,0,9,22,2,7,0,0,28,461,1
26-59 Adulto,Mulher,Santa Catarina,8,4,22,56,0,2,20,0,0,22,0,55,106,12,43,0,0,46,1513,9
26-59 Adulto,Mulher,Santa Catarina,8,1,27,50,0,4,23,0,0,27,0,50,79,15,32,0,3,73,1482,12
26-59 Adulto,Homem,Santa Catarina,8,2,19,35,0,1,18,0,1,18,0,44,73,16,28,0,0,32,1324,16
18-25 Jovem ,Mulher,Santa Catarina,8,2,6,8,0,0,5,1,0,5,1,15,10,2,12,0,1,13,273,9
26-59 Adulto,Homem,Santa Catarina,8,1,25,42,0,4,21,0,0,25,0,45,66,10,34,0,1,34,1354,9
0-12 Criança,Mulher,Santa Catarina,8,1,1,11,0,1,0,0,0,1,0,1,7,0,1,0,0,21,428,3
0-12 Criança,Mulher,Santa Catarina,8,3,1,7,0,1,0,0,0,1,0,5,8,2,3,0,0,8,406,6
60+ Idoso,Mulher,Santa Catarina,8,2,10,27,0,2,7,1,0,9,1,12,24,2,7,0,3,43,594,4
0-12 Criança,Mulher,Santa Catarina,8,4,2,10,0,0,2,0,0,2,0,3,4,1,2,0,0,14,394,4
60+ Idoso,Homem,Santa Catarina,8,2,7,11,0,0,6,1,0,6,1,4,27,1,2,0,1,32,513,4
60+ Idoso,Homem,Santa Catarina,8,4,4,18,0,0,4,0,0,4,0,10,28,1,9,0,0,26,490,6
13-17 Adolescente,Mulher,Santa Catarina,8,2,1,4,0,0,1,0,0,1,0,1,3,0,1,0,0,10,172,1
13-17 Adolescente,Mulher,Santa Catarina,8,4,0,2,0,0,0,0,0,0,0,1,6,1,0,0,0,5,187,0
18-25 Jovem ,Homem,Santa Catarina,8,1,6,6,0,1,5,0,0,6,0,12,16,3,9,0,0,8,309,2
18-25 Jovem ,Mulher,Santa Catarina,8,1,8,11,0,1,7,0,0,8,0,9,13,0,9,0,0,11,282,0
18-25 Jovem ,Homem,Santa Catarina,8,4,5,5,0,0,5,0,0,5,0,9,12,3,5,0,1,16,330,1
13-17 Adolescente,Mulher,Santa Catarina,8,3,1,5,0,0,1,0,0,1,0,0,7,0,0,0,0,6,199,0
0-12 Criança,Homem,Santa Catarina,8,1,4,5,0,0,4,0,0,4,0,2,6,0,2,0,0,34,409,4
18-25 Jovem ,Homem,Santa Catarina,8,2,4,7,0,0,4,0,0,4,0,11,10,3,7,0,1,6,298,2
0-12 Criança,Homem,Santa Catarina,8,2,2,12,0,0,2,0,0,2,0,4,1,4,0,0,0,33,380,3
0-12 Criança,Mulher,Santa Catarina,8,2,2,4,0,1,1,0,0,2,0,3,4,0,3,0,0,20,393,5
13-17 Adolescente,Homem,Santa Catarina,8,2,0,4,0,0,0,0,0,0,0,1,3,1,0,0,0,8,137,3
0-12 Criança,Homem,Santa Catarina,8,4,3,12,0,0,3,0,1,2,0,4,3,0,4,0,0,21,424,3
18-25 Jovem ,Mulher,Santa Catarina,8,4,8,4,0,1,7,0,0,8,0,11,11,4,6,0,1,18,251,3
13-17 Adolescente,Homem,Santa Catarina,8,4,0,2,0,0,0,0,0,0,0,3,1,1,2,0,0,19,183,2
18-25 Jovem ,Mulher,Santa Catarina,8,3,4,11,0,0,4,0,0,4,0,12,23,3,9,0,0,9,283,4
13-17 Adolescente,Homem,Santa Catarina,8,1,0,4,0,0,0,0,0,0,0,1,5,0,1,0,0,12,174,0
13-17 Adolescente,Mulher,Santa Catarina,8,1,5,6,0,1,4,0,0,5,0,2,7,0,2,0,0,11,165,1
60+ Idoso,Homem,Rio Grande do Sul,8,1,11,35,0,2,9,0,0,11,0,7,22,3,3,0,1,51,543,1
60+ Idoso,Mulher,Rio Grande do Sul,8,1,16,68,0,5,11,0,0,16,0,13,17,3,8,0,2,69,648,1
26-59 Adulto,Mulher,Rio Grande do Sul,8,3,23,114,0,3,20,0,0,23,0,55,82,8,43,0,4,93,1274,5
60+ Idoso,Homem,Rio Grande do Sul,8,4,7,37,0,1,6,0,1,6,0,14,20,1,11,0,2,33,573,0
26-59 Adulto,Mulher,Rio Grande do Sul,8,1,31,108,0,5,26,0,2,29,0,63,80,10,46,0,7,109,1285,9
26-59 Adulto,Homem,Rio Grande do Sul,8,1,20,72,0,3,17,0,0,20,0,50,64,10,35,1,4,63,1229,6
26-59 Adulto,Homem,Rio Grande do Sul,8,4,17,83,0,0,17,0,3,14,0,39,65,9,29,0,1,51,1235,10
18-25 Jovem ,Mulher,Rio Grande do Sul,8,3,2,14,0,0,2,0,0,2,0,6,10,2,4,0,0,31,219,3
18-25 Jovem ,Homem,Rio Grande do Sul,8,3,4,16,0,1,3,0,0,4,0,8,12,1,7,0,0,27,236,0
26-59 Adulto,Homem,Rio Grande do Sul,8,3,14,78,0,1,13,0,0,14,0,39,62,10,24,1,3,69,1131,4
18-25 Jovem ,Mulher,Rio Grande do Sul,8,1,12,16,0,3,9,0,0,11,1,15,11,5,9,0,1,35,240,2
26-59 Adulto,Mulher,Rio Grande do Sul,8,2,38,110,0,9,29,0,0,38,0,64,87,7,54,1,2,101,1311,4
26-59 Adulto,Homem,Rio Grande do Sul,8,2,22,87,0,3,18,1,1,20,1,48,64,7,39,0,2,70,1207,6
0-12 Criança,Mulher,Rio Grande do Sul,8,2,3,13,0,0,3,0,0,3,0,2,1,0,2,0,0,29,341,1
60+ Idoso,Mulher,Rio Grande do Sul,8,4,12,57,0,5,7,0,0,12,0,9,28,2,7,0,0,65,703,2
26-59 Adulto,Mulher,Rio Grande do Sul,8,4,32,104,0,4,28,0,0,32,0,70,86,12,56,1,1,88,1320,5
60+ Idoso,Mulher,Rio Grande do Sul,8,2,15,51,0,5,10,0,0,15,0,9,23,2,6,0,1,55,633,5
18-25 Jovem ,Homem,Rio Grande do Sul,8,2,5,21,0,1,4,0,0,5,0,11,14,0,11,0,0,16,269,2
60+ Idoso,Homem,Rio Grande do Sul,8,2,5,41,0,3,2,0,0,5,0,10,15,1,9,0,0,33,537,6
18-25 Jovem ,Homem,Rio Grande do Sul,8,1,5,14,0,0,5,0,0,5,0,12,16,1,8,0,3,25,263,2
18-25 Jovem ,Mulher,Rio Grande do Sul,8,2,9,20,0,2,7,0,0,9,0,12,14,0,11,0,1,29,252,1
18-25 Jovem ,Homem,Rio Grande do Sul,8,4,4,12,0,0,4,0,0,4,0,14,8,2,12,0,0,19,255,0
60+ Idoso,Homem,Rio Grande do Sul,8,3,13,49,0,2,11,0,1,12,0,10,18,3,6,0,1,44,551,2
60+ Idoso,Mulher,Rio Grande do Sul,8,3,18,61,0,3,15,0,2,16,0,14,20,0,10,0,4,45,682,1
13-17 Adolescente,Mulher,Rio Grande do Sul,8,2,2,11,0,1,1,0,0,2,0,2,2,1,0,0,1,15,139,0
0-12 Criança,Homem,Rio Grande do Sul,8,1,2,19,0,0,2,0,0,2,0,2,3,0,2,0,0,46,338,4
13-17 Adolescente,Homem,Rio Grande do Sul,8,2,1,3,0,0,1,0,0,1,0,1,4,0,1,0,0,16,152,0
0-12 Criança,Homem,Rio Grande do Sul,8,4,1,24,0,1,0,0,0,1,0,2,8,0,1,0,1,51,369,0
0-12 Criança,Homem,Rio Grande do Sul,8,2,6,22,0,0,6,0,0,6,0,2,9,0,2,0,0,52,342,1
0-12 Criança,Mulher,Rio Grande do Sul,8,4,3,16,0,0,3,0,0,3,0,0,2,0,0,0,0,29,331,0
18-25 Jovem ,Mulher,Rio Grande do Sul,8,4,3,21,0,0,3,0,0,3,0,16,16,3,13,0,0,25,231,3
13-17 Adolescente,Mulher,Rio Grande do Sul,8,4,4,6,0,0,4,0,0,4,0,6,1,0,5,0,1,15,150,0
13-17 Adolescente,Homem,Rio Grande do Sul,8,4,1,5,0,1,0,0,0,1,0,4,3,1,3,0,0,15,180,1
13-17 Adolescente,Mulher,Rio Grande do Sul,8,3,2,8,0,1,1,0,0,2,0,3,0,0,3,0,0,12,144,1
13-17 Adolescente,Mulher,Rio Grande do Sul,8,1,2,5,0,1,1,0,0,2,0,1,3,0,1,0,0,23,149,1
0-12 Criança,Homem,Rio Grande do Sul,8,3,4,12,0,0,4,0,0,4,0,3,12,0,1,0,2,36,338,1
0-12 Criança,Mulher,Rio Grande do Sul,8,3,3,7,0,0,3,0,1,2,0,1,13,0,1,0,0,24,338,3
13-17 Adolescente,Homem,Rio Grande do Sul,8,1,0,5,0,0,0,0,0,0,0,1,6,1,0,0,0,17,161,2
0-12 Criança,Mulher,Rio Grande do Sul,8,1,2,15,0,0,2,0,0,2,0,7,6,3,4,0,0,32,320,2
